지점,일시,합계 강수량(mm),산성도(pH),전기전도도(μS/cm),불산이온(F-)(μeq/L),염소이온(Cl-)(μeq/L),질산이온(NO3-)(μeq/L),황산이온(SO4-)(μeq/L),나트륨이온(Na+)(μeq/L),암모니아이온(NH4+)(μeq/L),칼륨이온(K+)(μeq/L),마그네슘이온(Mg2+)(μeq/L),칼슘이온(Ca2+)(μeq/L)
132,2024-07-19,6,5.32,14.1,.263,53.903,15.773,14.449,43.367,21.011,1.279,9.545,4.591
132,2024-07-20,5,5.29,12.4,.579,40.843,18.499,13.012,32.971,18.516,1.1,10.204,5.539
132,2024-07-22,10.5,5.39,14.2,.368,66.991,12.257,12.367,54.763,11.531,1.33,12.425,5.19
132,2024-07-23,17.5,5.7,9.5,.474,35.174,13.967,8.661,26.751,23.616,.639,6.254,2.645
132,2024-07-26,2,5.12,8.4,.158,34.299,4.225,8.723,27.36,14.691,1.842,5.431,1.946
132,2024-08-07,5.5,5.44,8.5,1.737,15.993,16.031,12.721,13.006,21.232,1.125,5.02,2.445
132,2024-08-20,147,4.92,13.5,.105,64.819,6.79,11.742,54.981,8.038,1.381,12.014,4.541
132,2024-08-21,5.5,5.34,31,.158,192.256,26.288,29.002,166.291,8.26,3.862,36.207,7.635
132,2024-08-22,1,4.96,46.1,.368,252.929,44.964,43.471,208.397,51.168,4.681,47.151,15.669
132,2024-09-01,4,5.62,12.9,.579,14.893,40.513,24.754,11.657,72.9,1.279,5.431,6.887
132,2024-09-11,3.5,5.39,14.5,.526,20.534,31.288,34.477,16.486,72.345,1.509,6.748,6.437
132,2024-09-12,6.5,5.49,6.4,.158,16.557,5.919,9.785,13.658,13.36,.256,3.456,1.946
132,2024-09-13,1,5.04,13.6,.368,33.763,23.724,15.511,26.577,27.94,1.1,8.229,5.34
132,2024-09-19,20.5,5.33,5.2,.158,8.8,5.112,8.64,7.395,11.864,.384,1.975,2.296
132,2024-09-20,130.5,5.28,4.7,.053,18.165,1.451,3.414,15.877,.998,.384,3.538,.998
132,2024-09-21,3,5.49,2.8,.053,3.639,4,2.228,3.132,3.049,.128,2.139,.998
132,2024-09-30,2.5,5.52,15.5,.316,64.932,16.499,23.006,52.893,25.002,3.402,13.907,4.841
132,2024-10-13,2.5,5.8,8.8,.842,20.083,17.095,10.576,17.182,35.092,.716,3.456,6.238
132,2024-10-14,16,5.5,6.2,.316,8.998,10.241,10.035,7.09,19.957,.384,2.386,3.693
132,2024-10-17,7.5,4.41,25.5,.79,25.076,24.337,45.491,18.356,23.561,.563,6.007,5.689
132,2024-10-18,39.5,4.68,21,.579,47.726,23.821,28.481,39.365,17.241,.895,9.134,5.09
132,2024-10-22,3,4.92,24.2,.737,89.048,36.433,25.608,74.511,42.298,1.739,15.223,7.585
132,2024-10-31,1,5.17,37.4,.947,165.15,54.786,43.242,145.76,76.06,3.274,25.591,12.875
132,2024-11-03,2.5,4.92,24.2,.474,78.95,39.577,28.356,72.206,25.889,2.276,18.679,9.631
132,2024-11-14,8.5,5.53,9.7,.526,25.499,19.644,12.554,21.836,33.04,.614,5.266,5.24
132,2024-11-25,24.5,5.19,12.2,.579,44.143,11.886,15.511,37.19,13.859,1.125,8.064,6.388
132,2024-11-27,4.5,5.15,584.7,2.474,4204.109,54.979,491.987,3498.856,36.644,70.387,747.418,178.801
132,2024-11-28,7.5,5.17,230.5,1.842,1577.567,40.045,216.357,1314.366,38.196,27.316,286.443,71.311
132,2024-11-29,4.5,5,83.5,1.105,501.316,34.852,87.692,417.011,35.646,9.438,92.162,28.045
132,2024-12-16,1.5,4.86,188.4,6.211,1005.763,232.981,203.011,823.713,168.916,21.484,199.547,142.322
132,2024-12-20,1.5,4.8,317.6,9.474,1565.974,470.543,399.881,1284.613,360.784,38.288,331.948,221.668
132,2024-12-27,1.5,4.68,156.2,2.948,744.936,196,224.684,619.275,192.477,16.523,151.327,109.387
